parcela	valor1	valor2
l54500	2.3	6.2
l54500	3.2	19.0
l54500	3.2	18.9
l54500	3.2	18.9
l54500	3.2	18.9
l54500	2.8	11.5
l54500	2.7	11.6
l54500	2.7	11.6
l54500	2.7	11.6
l54500	2.4	11.5
l54500	2.5	11.6
l54500	2.5	11.6
l54500	2.5	11.5
l54500	1.8	11.8
l54500	1.8	11.8
l54500	1.8	11.8
l54500	1.8	11.8
l60500	0.7	1.6
l60500	0.8	1.6
l60500	0.8	1.6
l60500	0.8	1.6
l60500	1.1	4.2
l60500	1.1	4.2
l60500	1.1	4.2
l60500	1.1	4.2
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.7	1.9
l60500	0.5	1.2
l60500	0.5	1.2
l60500	0.5	1.2
l60500	0.5	1.3
l60500	1.2	3.3
l60500	1.2	3.3
l60500	1.2	3.3
l60500	1.2	3.3
l61500	0.3	1.2
l61500	0.3	1.2
l61500	0.3	1.2
l61500	0.3	1.2
l61500	1.1	4.2
l61500	0.7	2.1
l61500	0.8	2.1
l61500	0.7	2.1
l61500	0.7	2.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	3.1
l61500	0.9	1.8
l61500	0.8	1.8
l61500	0.8	1.8
l61500	0.9	1.8
l61500	1.3	2.4
l61500	1.3	2.4
l61500	1.3	2.4
l61500	1.3	2.4
l62500	1.1	5.5
l62500	2.2	9.1
l62500	2.2	9.1
l62500	2.2	9.1
l62500	2.2	9.1
l62500	1.1	5.5
l62500	1.1	5.5
l62500	1.1	5.4
l62500	1.1	5.5
l62500	0.8	2.1
l62500	0.8	2.1
l62500	0.8	2.1
l62500	0.8	2.1
l62500	2.1	3.8
l62500	2.1	3.8
l62500	2.1	3.8
l62500	2.6	8.8
l62500	2.4	8.6
l62500	2.3	8.7
l63500	4.5	15.8
l63500	4.4	15.8
l63500	4.4	15.8
l63500	4.4	15.8
l63500	4.5	14.9
l63500	4.5	14.9
l63500	4.5	14.9
l63500	4.5	14.9
l63500	2.0	10.8
l63500	2.0	10.8
l63500	2.0	10.8
l63500	1.9	10.9
l63500	3.6	14.6
l63500	3.6	14.6
l63500	3.6	14.6
l63500	3.6	14.6
l63500	6.3	18.0
l63500	6.3	18.0
l63500	6.3	18.0
l63500	6.3	18.0
l64500	1.4	6.9
l64500	1.4	6.9
l64500	1.4	6.9
l64500	1.4	6.9
l64500	2.2	9.8
l64500	2.2	9.8
l64500	2.2	9.8
l64500	2.2	9.9
l64500	2.7	10.3
l64500	2.6	10.3
l64500	2.5	10.2
l64500	4.4	15.4
l64500	4.5	15.4
l64500	4.4	15.4
l64500	4.5	15.4
l64500	1.7	2.8
l64500	1.6	2.8
l64500	1.5	2.9
l64500	1.7	3.1
l70500	4.4	8.9
l70500	4.5	9.4
l70500	4.6	9.7
l70500	4.6	9.7
l70500	6.2	9.4
l70500	6.1	9.4
l70500	6.2	9.4
l70500	6.2	9.4
l70500	9.0	12.6
l70500	9.0	12.6
l70500	9.1	12.6
l70500	9.1	12.6
l70500	12.9	14.3
l70500	12.8	14.2
l70500	12.8	14.2
l70500	12.9	14.2
l70500	4.2	7.5
l70500	4.2	7.5
l70500	4.2	7.6
l70500	4.2	7.6
l71500	8.0	3.9
l71500	8.7	4.0
l71500	9.2	4.0
l71500	4.3	2.4
l71500	4.3	2.3
l71500	4.3	2.3
l71500	4.3	2.3
l71500	5.0	2.7
l71500	5.0	2.7
l71500	5.0	2.7
l71500	5.0	2.7
l71500	4.1	2.4
l71500	4.1	2.4
l71500	4.1	2.4
l71500	4.1	2.4
l71500	23.1	7.7
l71500	23.1	7.6
l71500	23.1	7.6
l71500	23.0	7.6
l71500	29.6	14.6
l71500	29.8	14.6
l71500	29.4	14.2
l72500	0.5	1.9
l72500	0.5	2.1
l72500	0.6	2.1
l72500	0.5	2.1
l72500	0.5	2.1
l72500	0.8	2.6
l72500	0.8	2.6
l72500	0.8	2.6
l72500	1.2	2.4
l72500	1.2	2.4
l72500	1.2	2.4
l72500	0.6	2.1
l72500	0.6	2.1
l72500	0.6	2.1
l72500	0.6	2.1
l72500	0.6	2.1
l72500	0.4	1.2
l72500	0.4	1.2
l72500	0.4	1.2
l73500	1.0	4.2
l73500	1.0	4.2
l73500	1.0	4.3
l73500	1.0	4.3
l73500	1.1	5.1
l73500	1.1	5.1
l73500	1.1	5.1
l73500	1.1	5.1
l73500	1.1	5.1
l73500	1.8	7.1
l73500	1.8	7.1
l73500	1.8	7.1
l73500	1.9	7.2
l73500	3.2	6.6
l73500	3.2	6.6
l73500	3.2	6.6
l73500	3.2	6.6
l73500	1.8	6.9
l73500	1.8	6.9
l73500	1.8	7.0
l73500	1.8	7.0
l74500	1.1	4.6
l74500	1.1	4.6
l74500	1.1	4.7
l74500	1.1	4.6
l74500	1.6	5.5
l74500	1.6	5.5
l74500	1.6	5.5
l74500	1.6	5.5
l74500	1.0	4.8
l74500	1.0	4.8
l74500	1.0	4.8
l74500	1.0	4.8
l74500	1.7	7.0
l74500	1.8	7.0
l74500	1.7	7.0
l74500	1.8	7.0
l74500	0.8	4.6
l74500	0.8	4.6
l74500	0.8	4.6
l74500	0.8	4.6
l80500	0.8	1.8
l80500	0.8	1.8
l80500	0.8	1.8
l80500	0.8	1.8
l80500	0.8	2.1
l80500	0.8	2.1
l80500	0.8	2.1
l80500	0.8	2.1
l80500	0.9	2.4
l80500	0.9	2.4
l80500	0.9	2.4
l80500	1.0	2.4
l80500	0.6	2.5
l80500	0.6	2.5
l80500	0.6	2.5
l80500	0.6	2.5
l80500	0.4	1.7
l80500	0.4	1.7
l80500	0.4	1.7
l80500	0.4	1.7
l81500	0.7	1.6
l81500	0.7	1.6
l81500	0.7	1.6
l81500	0.7	1.6
l81500	0.7	1.2
l81500	0.7	1.2
l81500	0.7	1.2
l81500	0.6	1.2
l81500	0.7	1.5
l81500	0.5	1.4
l81500	0.5	1.4
l81500	0.5	1.4
l81500	1.8	3.7
l81500	1.8	3.7
l81500	1.8	3.7
l81500	1.8	3.7
l81500	1.4	3.2
l81500	1.4	3.2
l81500	1.4	3.2
l81500	1.4	3.2
l82500	2.3	10.9
l82500	2.3	10.9
l82500	2.2	10.9
l82500	2.8	11.9
l82500	2.6	11.8
l82500	2.7	11.9
l82500	2.7	11.9
l82500	6.3	6.7
l82500	6.3	6.7
l82500	6.2	6.7
l82500	7.7	9.4
l82500	7.7	9.4
l82500	7.7	9.4
l82500	7.6	9.4
l82500	11.2	27.0
l82500	11.2	27.0
l82500	11.2	27.0
l82500	11.2	26.9
l83500	5.7	9.9
l83500	5.8	10.0
l83500	6.0	10.3
l83500	6.1	10.4
l83500	4.5	7.6
l83500	4.4	7.2
l83500	4.2	7.1
l83500	4.2	7.2
l83500	4.5	18.1
l83500	4.6	18.1
l83500	4.7	18.2
l83500	4.6	18.1
l83500	3.7	10.5
l83500	3.7	10.5
l83500	3.7	10.5
l83500	3.7	10.4
l83500	3.1	5.2
l83500	3.1	5.2
l83500	3.1	5.2
l83500	3.1	5.2
l84500	4.2	18.9
l84500	4.2	19.0
l84500	4.2	19.0
l84500	4.2	18.9
l84500	3.6	13.2
l84500	3.6	13.2
l84500	3.6	13.2
l84500	3.6	13.2
l84500	5.7	15.2
l84500	5.5	15.1
l84500	5.5	15.1
l84500	5.5	15.1
l84500	3.6	14.8
l84500	3.6	14.7
l84500	3.6	14.7
l84500	3.6	14.7
l84500	3.6	14.7
l84500	3.3	3.4
l84500	3.3	3.4
l84500	3.3	3.4
