N	PARCELA	POSICAO	X	Y	ESPECIE	Cacho1	S1	S2	S3	S4	Smean	D	Copa
37351	L41500	D	29.65	2.44	Om	13	2	3	0	2	1.75	2	2
37679	L41500	D	31.4	10.15	Ob	1853	2	2	6	2	3	3	5
37627	L41500	E	67.43	2.18	Is	48	2	2	4	2	2.5	2	2
37384	L41500	D	77.12	1.38	Is	64	2	4	6	2	3.5	2	2
2715	L41500	D	94.9	4.77	Se	8	2	3	2	1	2	3	4
37829	L41500	E	105.15	5.67	Ob	93	2	3	2	4	2.75	2	5
37598	L41500	E	126.53	2.53	Se	327	6	4	0	4	3.5	6	3
2731	L41500	E	167.35	0.75	Ob	2534	0	0	4	4	2	1	5
2733	L41500	D	177.8	0.2	Ob	1118	2	5	0	2	2.25	1	4
2787	L42500	E	95.45	11.8	Is	204	3	4	0	2	2.25	3	2
2789	L42500	E	99.65	4.5	Ga	1	0	0	1	0	0.25	1	1
2791	L42500	D	103.6	1.75	Ga	1	4	4	3	2	3.25	2	1
2800	L42500	D	161.9	10.7	Is	41	4	2	8	3	4.25	3	2
2805	L42500	E	200	6.68	Om	39	1	0	1	1	0.75	2	3
2806	L42500	E	213.15	10.45	Is	3	2	2	3	2	2.25	2	2
2810	L42500	E	237.25	0.9	Ga	2	0	2	1	4	1.75	3	1
2813	L43500	D	9.6	16.9	Is	78	1	1	2	0	1	4	1
2829	L43500	D	61.89	1.11	Ga	18	0	2	5	4	2.75	3	2
43974	L43500	D	108.72	8.36	Obc	2912	3	2	6	3	3.5	2	5
2856	L43500	E	114.5	10.38	Is	122	2	2	4	3	2.75	5	3
2870	L43500	E	154.95	1.47	Ga	24	2	3	2	5	3	4	1
2873	L43500	D	176.4	3.2	Om	112	2	4	2	4	3	2	3
2883	L43500	D	194.7	1.7	Ga	4	0	2	2	7	2.75	3	1
2884	L43500	D	195	2.75	Ga	26	2	4	3	2	2.75	2	1
2937	L44500	D	93	3	Ga	1	2	4	3	4	3.25	4	1
2956	L44500	D	150.67	2.48	Ga	5	0	4	5	2	2.75	4	3
2958	L44500	D	158.1	5.65	Is	62	2	1	2	2	1.75	1	2
2961	L44500	D	160.05	6.85	Aa	21	4	4	2	0	2.5	5	3
2961	L44500	D	160.05	6.85	Aa	27	4	6	6	4	5	3	3
2970	L44500	D	220	2.89	Ga	9	3	1	2	1	1.75	4	3
2976	L44500	E	249.99	14	Aa	46	2	0	0	1	0.75	3	2
37262	L50500	E	3.3	9.61	Ob	1022	0	0	0	4	1	7	5
1737	L50500	E	59	18.15	Ob	4259	2	6	2	4	3.5	3	5
1742	L50500	E	62.2	10.36	Se	19	8	6	4	4	5.5	2	3
1761	L50500	E	82.5	19.3	Ep	2772	0	1	0	0	0.25	3	5
1751	L50500	D	82.55	9.3	Is	36	0	0	0	4	1	2	2
1752	L50500	D	82.6	10.1	Is	93	0	8	19	12	9.75	4	2
1752	L50500	D	82.6	10.1	Is	124	4	7	16	10	9.25	3	2
36725	L50500	D	100.92	2.92	Ob	1234	12	0	0	6	4.5	3	4
1776	L50500	D	117.2	15.2	Ep	3671	2	0	1	3	1.5	3	5
1782	L50500	E	129.2	7.4	Se	67	7	6	5	3	5.25	3	4
1792	L50500	D	160	12.7	Am	138	0	0	6	6	3	3	3
1798	L50500	E	179.08	5.88	Ob	828	0	2	2	0	1	2	5
1803	L50500	E	198.2	13.67	Ob	1076	0	0	1	0	0.25	1	5
37108	L50500	D	208.37	4.33	Ob	289	4	2	1	4	2.75	0	5
